job_title,skills,experience,salary
Data Scientist,"sql, ML, cloud",Entry,91577.0
Data Engineer,cloud,Senior,113087.0
Data Scientist,"python, sql, ML, deep learning, cloud",Entry,108525.0
Data Analyst,"python, deep learning, cloud",Senior,120687.0
AI Engineer,"sql, deep learning",Senior,155108.0
Business Analyst,sql,Mid,73864.0
Machine Learning Engineer,"python, sql, ML, deep learning",Entry,120569.0
Data Scientist,"python, sql, ML, deep learning",Mid,109890.0
Data Scientist,"ML, cloud",Entry,78915.0
Data Analyst,"python, ML",Mid,111659.0
Data Engineer,"python, sql, ML, deep learning",Entry,75392.0
Business Analyst,"deep learning, cloud",Mid,95141.0
Data Engineer,"ML, deep learning, cloud",Mid,111750.0
Data Analyst,"python, deep learning",Senior,111531.0
AI Engineer,"python, ML, deep learning",Entry,116762.0
Data Engineer,"python, sql, deep learning",Mid,92183.0
AI Engineer,"sql, ML",Entry,107156.0
Data Scientist,"sql, ML, deep learning, cloud",Entry,111748.0
Data Analyst,"python, sql, ML, deep learning, cloud",Senior,135193.0
Data Analyst,"sql, cloud",Mid,88921.0
AI Engineer,"python, sql, deep learning",Entry,105808.0
Data Engineer,"ML, deep learning, cloud",Mid,116376.0
Data Scientist,deep learning,Senior,115002.0
Data Analyst,"python, ML, deep learning",Entry,103365.0
Business Analyst,"python, deep learning, cloud",Mid,96774.0
Data Scientist,"python, cloud",Senior,106842.0
Machine Learning Engineer,"python, ML, deep learning",Entry,116628.0
Data Engineer,cloud,Mid,109428.0
Data Scientist,python,Mid,73259.0
Data Analyst,"python, ML, deep learning, cloud",Entry,86141.0
Data Scientist,deep learning,Senior,132011.0
Data Analyst,"python, sql, ML, deep learning, cloud",Mid,111054.0
Business Analyst,"python, sql, deep learning, cloud",Senior,122309.0
Business Analyst,"python, cloud",Entry,55785.0
Data Scientist,"python, sql, ML, deep learning",Mid,102352.0
Data Engineer,"python, deep learning",Senior,110382.0
AI Engineer,"ML, cloud",Senior,166652.0
AI Engineer,"sql, ML",Senior,153730.0
Machine Learning Engineer,ML,Mid,126960.0
Data Engineer,"python, sql, ML",Mid,87454.0
Data Scientist,"python, sql",Entry,54094.0
Data Scientist,"python, sql, cloud",Entry,77490.0
Data Engineer,"python, sql, ML, deep learning, cloud",Mid,111999.0
Data Scientist,"sql, ML, deep learning",Mid,128733.0
Data Scientist,"python, sql, deep learning, cloud",Senior,148448.0
Machine Learning Engineer,"python, deep learning",Mid,127092.0
Data Engineer,"python, sql, ML, deep learning, cloud",Mid,132555.0
Business Analyst,"deep learning, cloud",Entry,75575.0
AI Engineer,"sql, ML, cloud",Mid,161919.0
Data Scientist,python,Entry,49232.0
AI Engineer,"sql, ML, deep learning, cloud",Senior,203662.0
Data Scientist,"python, ML",Entry,85423.0
Data Scientist,"sql, cloud",Entry,59424.0
Data Engineer,"python, ML, deep learning",Senior,152170.0
AI Engineer,sql,Mid,134213.0
Business Analyst,"python, sql, ML, cloud",Entry,98088.0
Data Engineer,"python, sql, ML, deep learning",Senior,129214.0
Data Scientist,"ML, cloud",Mid,119063.0
Data Scientist,"python, deep learning",Mid,89552.0
Data Scientist,"sql, ML, deep learning",Senior,154433.0
Data Scientist,"python, cloud",Senior,105025.0
Data Analyst,python,Entry,45215.0
Data Scientist,"sql, ML",Mid,90685.0
Data Engineer,"sql, ML, deep learning, cloud",Mid,111932.0
Data Engineer,"sql, cloud",Entry,64467.0
Machine Learning Engineer,"deep learning, cloud",Entry,119475.0
Business Analyst,"python, sql, ML, cloud",Senior,123423.0
Data Engineer,"sql, ML",Senior,111636.0
Machine Learning Engineer,"python, ML",Mid,129444.0
Business Analyst,"python, deep learning",Mid,88824.0
AI Engineer,"python, sql, deep learning",Entry,104956.0
Data Analyst,"sql, ML, cloud",Entry,74200.0
Data Scientist,"sql, deep learning",Entry,66242.0
Data Analyst,"python, sql, cloud",Senior,114065.0
Machine Learning Engineer,"python, sql, cloud",Senior,167468.0
Data Analyst,sql,Entry,72415.0
Business Analyst,"sql, ML, deep learning",Entry,84865.0
Data Engineer,"python, sql, ML, deep learning",Senior,128240.0
Machine Learning Engineer,"python, ML, deep learning",Entry,118811.0
Business Analyst,"python, sql, deep learning",Senior,119168.0
Data Engineer,sql,Entry,47610.0
Data Scientist,ML,Senior,113664.0
Data Scientist,"deep learning, cloud",Mid,99287.0
Data Analyst,"python, ML, deep learning, cloud",Entry,86293.0
AI Engineer,sql,Mid,136426.0
Data Engineer,"python, ML, deep learning",Senior,128093.0
Business Analyst,"sql, ML, deep learning, cloud",Mid,130112.0
Business Analyst,"sql, ML, cloud",Mid,98104.0
Data Analyst,"python, deep learning, cloud",Mid,104741.0
Data Engineer,"sql, ML, deep learning",Senior,125517.0
AI Engineer,ML,Mid,131241.0
Machine Learning Engineer,cloud,Mid,142600.0
AI Engineer,"python, sql, deep learning",Mid,132519.0
Data Analyst,"python, ML",Entry,82994.0
Data Engineer,sql,Entry,65082.0
AI Engineer,"python, sql, deep learning, cloud",Mid,136779.0
Data Scientist,"sql, ML",Entry,89256.0
AI Engineer,ML,Senior,158252.0
Data Engineer,"python, sql, cloud",Mid,81993.0
Data Analyst,python,Entry,54909.0
Machine Learning Engineer,"sql, ML, deep learning, cloud",Entry,150738.0
AI Engineer,"sql, ML, deep learning",Senior,173003.0
Data Scientist,"python, sql, deep learning",Mid,87032.0
Business Analyst,"ML, deep learning, cloud",Senior,139841.0
Business Analyst,"python, ML, cloud",Entry,72854.0
Business Analyst,"python, ML, cloud",Entry,76219.0
Data Engineer,"sql, ML, deep learning",Senior,130164.0
Business Analyst,"sql, deep learning",Mid,92117.0
AI Engineer,deep learning,Mid,128453.0
Business Analyst,"python, ML",Senior,115618.0
Machine Learning Engineer,"python, sql, ML",Entry,105126.0
Data Scientist,ML,Senior,115057.0
Data Analyst,"python, sql, ML, deep learning, cloud",Entry,87565.0
Data Scientist,"python, deep learning",Entry,86079.0
Business Analyst,"python, sql, deep learning, cloud",Mid,104277.0
AI Engineer,"python, ML, deep learning",Senior,174695.0
Data Scientist,"ML, deep learning",Senior,125990.0
Machine Learning Engineer,"python, sql",Mid,132575.0
Data Scientist,"python, sql, cloud",Mid,103801.0
AI Engineer,"python, cloud",Mid,126204.0
Business Analyst,"python, ML, deep learning",Mid,129166.0
Data Engineer,"sql, ML",Entry,85710.0
Data Engineer,"sql, deep learning, cloud",Senior,122378.0
Business Analyst,"python, ML",Entry,86396.0
AI Engineer,"sql, ML",Mid,125165.0
Data Scientist,sql,Senior,115067.0
Machine Learning Engineer,"sql, ML, cloud",Senior,163262.0
Data Analyst,"python, ML, cloud",Entry,73226.0
Machine Learning Engineer,"deep learning, cloud",Senior,186982.0
AI Engineer,"python, sql, ML, deep learning, cloud",Entry,133566.0
AI Engineer,"python, sql, ML",Mid,153996.0
Machine Learning Engineer,"python, ML, deep learning, cloud",Senior,199735.0
Data Engineer,"python, cloud",Senior,107259.0
Data Scientist,"python, sql",Entry,48856.0
Business Analyst,"python, sql, deep learning, cloud",Mid,97775.0
Business Analyst,"sql, ML, deep learning",Entry,104275.0
AI Engineer,"python, ML, deep learning, cloud",Entry,132542.0
Data Engineer,"sql, ML, deep learning, cloud",Mid,133216.0
Machine Learning Engineer,"sql, ML, cloud",Entry,118080.0
Business Analyst,"sql, cloud",Senior,106234.0
Data Scientist,python,Senior,100509.0
Data Scientist,"ML, cloud",Mid,121263.0
Data Engineer,"python, ML, deep learning",Mid,109421.0
Data Analyst,"ML, deep learning",Senior,149820.0
Data Engineer,"python, sql, cloud",Mid,103968.0
Data Engineer,"python, sql, ML",Entry,61647.0
Data Analyst,"python, sql, ML",Senior,132696.0
Data Scientist,ML,Entry,88263.0
AI Engineer,cloud,Senior,148924.0
Data Engineer,python,Entry,54008.0
Machine Learning Engineer,"python, sql, ML, deep learning, cloud",Entry,132538.0
Data Engineer,"sql, deep learning, cloud",Entry,75305.0
Data Engineer,"ML, deep learning, cloud",Mid,134005.0
Data Scientist,"sql, deep learning, cloud",Mid,96096.0
Machine Learning Engineer,ML,Mid,127398.0
AI Engineer,"python, sql, deep learning",Entry,105552.0
Business Analyst,"python, sql, ML, cloud",Entry,79175.0
Business Analyst,"sql, deep learning, cloud",Senior,128383.0
Machine Learning Engineer,python,Senior,139538.0
Business Analyst,"python, sql, ML, cloud",Senior,126078.0
Machine Learning Engineer,"sql, cloud",Mid,129803.0
Data Engineer,"python, sql, ML",Entry,84117.0
Business Analyst,"ML, cloud",Entry,96509.0
Data Engineer,"sql, ML, cloud",Senior,120406.0
Machine Learning Engineer,"python, sql, cloud",Mid,127566.0
Data Analyst,"python, ML, deep learning, cloud",Senior,141524.0
Data Analyst,"sql, cloud",Mid,80807.0
Data Engineer,"python, sql, ML",Mid,108558.0
AI Engineer,"python, sql, ML",Senior,156715.0
Data Engineer,"python, sql, cloud",Mid,81447.0
Business Analyst,"deep learning, cloud",Senior,120808.0
Data Engineer,deep learning,Entry,87483.0
Data Engineer,python,Entry,47971.0
Data Scientist,cloud,Mid,88307.0
Data Analyst,"ML, deep learning, cloud",Mid,119169.0
Data Analyst,"python, sql, ML, cloud",Senior,145877.0
Data Analyst,"sql, deep learning, cloud",Senior,120464.0
Business Analyst,"sql, deep learning, cloud",Entry,96124.0
Business Analyst,"ML, cloud",Senior,127478.0
AI Engineer,"python, sql, ML",Mid,134021.0
AI Engineer,"sql, ML, deep learning",Entry,123339.0
Machine Learning Engineer,"python, sql, ML, cloud",Mid,140929.0
Machine Learning Engineer,sql,Senior,138398.0
Machine Learning Engineer,"sql, deep learning, cloud",Entry,139323.0
Data Analyst,"sql, cloud",Entry,82984.0
Data Engineer,"python, sql, cloud",Entry,64589.0
Business Analyst,"sql, ML, deep learning, cloud",Mid,116155.0
AI Engineer,"python, deep learning, cloud",Mid,136409.0
Machine Learning Engineer,"python, sql, deep learning, cloud",Senior,165247.0
Data Engineer,"python, ML, deep learning",Mid,127697.0
Business Analyst,"sql, ML, deep learning, cloud",Senior,142148.0
Business Analyst,"python, sql",Entry,51998.0
Data Engineer,"python, ML, deep learning, cloud",Senior,135935.0
Data Analyst,"python, sql, cloud",Senior,114462.0
AI Engineer,"python, sql, ML, cloud",Mid,137240.0
Data Scientist,sql,Entry,46644.0
AI Engineer,"ML, cloud",Senior,162158.0
Data Engineer,deep learning,Mid,89306.0
AI Engineer,"python, sql, cloud",Mid,120941.0
Data Scientist,python,Senior,102833.0
AI Engineer,python,Mid,113637.0
Data Engineer,"python, sql",Mid,93569.0
Data Scientist,"python, sql, deep learning, cloud",Senior,121773.0
Business Analyst,"ML, deep learning, cloud",Mid,116360.0
Data Engineer,"sql, deep learning, cloud",Mid,103864.0
Business Analyst,"python, deep learning, cloud",Senior,144386.0
Data Analyst,"sql, ML, deep learning",Senior,153750.0
AI Engineer,"python, sql, ML, deep learning",Mid,142155.0
AI Engineer,"sql, ML, cloud",Senior,164677.0
Data Analyst,"python, ML, cloud",Entry,70861.0
Data Scientist,"python, deep learning, cloud",Entry,73956.0
Machine Learning Engineer,"python, deep learning",Entry,109082.0
Data Scientist,"python, ML, cloud",Entry,79081.0
Data Analyst,"python, sql, deep learning",Entry,63138.0
Machine Learning Engineer,"sql, cloud",Senior,168899.0
Data Engineer,"sql, ML, deep learning, cloud",Entry,89056.0
Data Scientist,deep learning,Mid,94642.0
Data Engineer,"python, ML, cloud",Senior,127235.0
Data Analyst,"sql, ML, deep learning",Entry,84281.0
AI Engineer,"sql, ML, cloud",Senior,185979.0
Data Scientist,"python, ML",Mid,87639.0
Data Engineer,"python, sql, cloud",Senior,107841.0
Data Scientist,"ML, deep learning",Senior,130974.0
Data Scientist,"sql, deep learning, cloud",Senior,122693.0
Business Analyst,"ML, cloud",Mid,96627.0
Data Scientist,"ML, deep learning",Entry,80622.0
Data Scientist,"python, ML",Entry,84603.0
Data Scientist,"python, sql",Senior,119576.0
Machine Learning Engineer,"python, sql, deep learning",Mid,126001.0
Data Scientist,"python, ML",Entry,86297.0
Data Analyst,"sql, cloud",Entry,55066.0
Business Analyst,"python, ML, cloud",Mid,103264.0
Machine Learning Engineer,"sql, ML",Senior,150734.0
Machine Learning Engineer,"sql, deep learning, cloud",Entry,131605.0
Data Analyst,"python, ML, cloud",Senior,123432.0
Data Scientist,"python, ML",Entry,81167.0
Machine Learning Engineer,"deep learning, cloud",Entry,133992.0
Data Engineer,"sql, cloud",Entry,64499.0
Data Engineer,"sql, deep learning",Entry,63183.0
Data Scientist,"sql, deep learning",Mid,86754.0
AI Engineer,"python, ML",Mid,126412.0
Data Engineer,"ML, deep learning, cloud",Entry,90969.0
Data Engineer,ML,Mid,93033.0
Data Engineer,"python, sql, cloud",Mid,101990.0
Business Analyst,"sql, deep learning, cloud",Mid,97644.0
Data Analyst,"sql, ML",Senior,119053.0
Data Scientist,"ML, cloud",Entry,78042.0
Data Engineer,sql,Mid,70512.0
AI Engineer,"python, deep learning, cloud",Senior,162365.0
Machine Learning Engineer,cloud,Mid,126801.0
Data Analyst,"python, sql, deep learning, cloud",Senior,120192.0
Data Scientist,"deep learning, cloud",Entry,93199.0
Data Engineer,sql,Entry,71429.0
AI Engineer,"sql, ML, deep learning",Mid,141317.0
Data Engineer,"python, ML",Senior,136996.0
Data Scientist,"python, sql, ML, deep learning, cloud",Entry,85585.0
Data Scientist,"sql, ML, deep learning, cloud",Senior,139703.0
Machine Learning Engineer,"python, ML",Mid,133081.0
Data Scientist,ML,Senior,113140.0
Machine Learning Engineer,cloud,Entry,97728.0
Data Analyst,"python, sql, ML, deep learning",Entry,78161.0
AI Engineer,"ML, cloud",Entry,118911.0
Data Engineer,"python, ML, deep learning",Senior,132382.0
Machine Learning Engineer,"python, deep learning, cloud",Entry,114704.0
Data Scientist,"sql, ML, deep learning, cloud",Entry,87708.0
Business Analyst,ML,Mid,105156.0
Data Analyst,sql,Entry,74369.0
AI Engineer,"ML, cloud",Mid,138767.0
Data Scientist,"python, sql, ML, deep learning",Mid,109344.0
Machine Learning Engineer,"python, ML, deep learning, cloud",Mid,157328.0
Business Analyst,"python, sql, ML, cloud",Mid,118661.0
Machine Learning Engineer,cloud,Mid,141299.0
Data Analyst,"sql, ML, cloud",Senior,120277.0
AI Engineer,"python, sql",Senior,135815.0
Business Analyst,cloud,Senior,109500.0
Data Scientist,"sql, ML, deep learning, cloud",Senior,138309.0
Machine Learning Engineer,"sql, deep learning, cloud",Mid,140204.0
AI Engineer,"python, sql",Entry,91795.0
Machine Learning Engineer,"python, ML, deep learning, cloud",Entry,132124.0
AI Engineer,"python, sql, ML, deep learning",Senior,167603.0
Data Engineer,"sql, ML, deep learning",Mid,100069.0
Data Engineer,"python, sql, deep learning, cloud",Entry,74938.0
Data Scientist,"ML, deep learning",Senior,147276.0
Data Analyst,"python, sql, deep learning, cloud",Mid,103534.0
Data Analyst,"sql, ML, cloud",Senior,124957.0
Data Analyst,"python, ML, cloud",Entry,79554.0
Data Analyst,"sql, ML, deep learning",Senior,131022.0
AI Engineer,"ML, deep learning",Senior,190812.0
Machine Learning Engineer,"sql, deep learning, cloud",Senior,183734.0
Business Analyst,"ML, deep learning, cloud",Senior,143075.0
Data Scientist,"python, deep learning, cloud",Mid,116868.0
Business Analyst,deep learning,Mid,108172.0
Data Analyst,"sql, ML, deep learning, cloud",Entry,93167.0
AI Engineer,"python, deep learning",Entry,108417.0
AI Engineer,"python, sql, ML, deep learning",Mid,142793.0
Machine Learning Engineer,"sql, deep learning, cloud",Mid,136173.0
Data Analyst,"python, ML",Mid,87607.0
Machine Learning Engineer,"ML, deep learning, cloud",Entry,125706.0
Data Engineer,"python, sql, deep learning",Entry,63317.0
AI Engineer,"ML, cloud",Entry,130867.0
Data Analyst,"python, deep learning, cloud",Entry,70452.0
Machine Learning Engineer,"ML, cloud",Entry,114144.0
Business Analyst,"ML, deep learning",Entry,81752.0
AI Engineer,"sql, cloud",Mid,129174.0
Data Engineer,"python, cloud",Entry,64408.0
Business Analyst,"ML, deep learning, cloud",Senior,139052.0
Data Engineer,"sql, cloud",Senior,113894.0
Data Analyst,"python, sql",Senior,120585.0
Data Analyst,"python, sql, ML, deep learning",Mid,102243.0
Business Analyst,python,Mid,73406.0
AI Engineer,"sql, ML",Mid,151784.0
Data Analyst,"python, sql",Mid,79799.0
Data Engineer,"ML, deep learning",Senior,127594.0
Data Engineer,"python, sql, cloud",Entry,78382.0
Data Scientist,"python, sql, ML, cloud",Entry,76606.0
Data Scientist,"ML, deep learning, cloud",Senior,158250.0
Data Engineer,"python, sql",Senior,104484.0
Data Analyst,"python, sql, deep learning",Mid,94005.0
Data Scientist,"sql, ML, deep learning, cloud",Entry,114582.0
Data Analyst,cloud,Senior,110065.0
Data Engineer,"python, deep learning, cloud",Entry,97746.0
Data Analyst,"sql, ML, deep learning",Entry,76574.0
Data Analyst,"python, sql, ML, deep learning",Mid,103932.0
Data Scientist,"python, sql, ML",Senior,139023.0
Machine Learning Engineer,"sql, ML, deep learning, cloud",Entry,128535.0
AI Engineer,"ML, deep learning",Senior,168258.0
AI Engineer,"python, ML, cloud",Senior,167206.0
AI Engineer,sql,Senior,143787.0
Data Analyst,"python, sql, ML, deep learning",Mid,100501.0
Data Engineer,"deep learning, cloud",Entry,94366.0
Business Analyst,"sql, ML, cloud",Entry,75336.0
